,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
5,2000-07-02,20:00,UEFA Euro,Final,Sun,Neutral,W,2,1,it Italy,,,,50000.0,Didier Deschamps,,Anders Frisk,Match Report,Required Extra Time,,,,0,0,2000,France
0,2000-06-11,14:30,UEFA Euro,Group stage,Sun,Neutral,W,2,1,tr Türkiye,,,,22500.0,Paolo Maldini,,Hugh Dallas,Match Report,,,,,1,1,2000,Italy
1,2000-06-14,20:45,UEFA Euro,Group stage,Wed,Away,W,2,0,be Belgium,,,,44500.0,Paolo Maldini,,José García Aranda,Match Report,,,,,0,0,2000,Italy
2,2000-06-19,20:45,UEFA Euro,Group stage,Mon,Neutral,W,2,1,se Sweden,,,,30000.0,Paolo Maldini,,Vítor Melo,Match Report,,,,,0,0,2000,Italy
3,2000-06-24,20:45,UEFA Euro,Quarter-finals,Sat,Neutral,W,2,0,ro Romania,,,,41000.0,Paolo Maldini,,Vítor Melo,Match Report,,,,,0,0,2000,Italy
4,2000-06-29,18:00,UEFA Euro,Semi-finals,Thu,Away,W,0 (3),0 (1),nl Netherlands,,,,50000.0,Paolo Maldini,,Markus Merk,Match Report,Italy won on penalty kicks following extra time,,,,0,0,2000,Italy
5,2000-07-02,20:00,UEFA Euro,Final,Sun,Neutral,L,1,2,fr France,,,,50000.0,Paolo Maldini,,Anders Frisk,Match Report,Required Extra Time,,,,0,0,2000,Italy
0,2000-06-11,20:45,UEFA Euro,Group stage,Sun,Home,W,1,0,cz Czechia,,,,50800.0,Frank de Boer,,Pierluigi Collina,Match Report,,,,,1,1,2000,Netherlands
1,2000-06-16,20:45,UEFA Euro,Group stage,Fri,Home,W,3,0,dk Denmark,,,,51425.0,Frank de Boer,,Urs Meier,Match Report,,,,,0,0,2000,Netherlands
2,2000-06-21,20:45,UEFA Euro,Group stage,Wed,Home,W,3,2,fr France,,,,50000.0,Frank de Boer,,Anders Frisk,Match Report,,,,,0,0,2000,Netherlands
3,2000-06-25,18:00,UEFA Euro,Quarter-finals,Sun,Home,W,6,1,rs Yugoslavia,,,,44000.0,Frank de Boer,,José García Aranda,Match Report,,,,,0,0,2000,Netherlands
4,2000-06-29,18:00,UEFA Euro,Semi-finals,Thu,Home,L,0 (1),0 (3),it Italy,,,,50000.0,Frank de Boer,,Markus Merk,Match Report,Italy won on penalty kicks following extra time,,,,0,0,2000,Netherlands
0,2000-06-12,20:45,UEFA Euro,Group stage,Mon,Neutral,W,3,2,eng England,,,,31500.0,Vítor Baía,,Anders Frisk,Match Report,,,,,0,0,2000,Portugal
1,2000-06-17,18:00,UEFA Euro,Group stage,Sat,Neutral,W,1,0,ro Romania,,,,28400.0,Vítor Baía,,Gilles Veissière,Match Report,,,,,0,0,2000,Portugal
2,2000-06-20,20:45,UEFA Euro,Group stage,Tue,Neutral,W,3,0,de Germany,,,,44000.0,Fernando Couto,,Dick Jol,Match Report,,,,,0,0,2000,Portugal
3,2000-06-24,18:00,UEFA Euro,Quarter-finals,Sat,Neutral,W,2,0,tr Türkiye,,,,42000.0,Vítor Baía,,Dick Jol,Match Report,,,,,0,0,2000,Portugal
4,2000-06-28,20:45,UEFA Euro,Semi-finals,Wed,Neutral,L,1,2,fr France,,,,48000.0,Vítor Baía,,Günter Benkö,Match Report,Required Extra Time,,,,0,0,2000,Portugal
0,2000-06-13,18:00,UEFA Euro,Group stage,Tue,Neutral,L,0,1,no Norway,,,,41000.0,Fernando Hierro,,Gamal Al Ghandour,Match Report,,,,,0,0,2000,Spain
1,2000-06-18,18:00,UEFA Euro,Group stage,Sun,Neutral,W,2,1,si Slovenia,,,,51300.0,Fernando Hierro,,Markus Merk,Match Report,,,,,0,0,2000,Spain
2,2000-06-21,18:00,UEFA Euro,Group stage,Wed,Neutral,W,4,3,rs Yugoslavia,,,,26611.0,Abelardo Fernández,,Gilles Veissière,Match Report,,,,,1,1,2000,Spain
3,2000-06-25,20:45,UEFA Euro,Quarter-finals,Sun,Neutral,L,1,2,fr France,,,,26614.0,Abelardo Fernández,,Pierluigi Collina,Match Report,,,,,1,1,2000,Spain
0,2000-06-11,14:30,UEFA Euro,Group stage,Sun,Neutral,L,1,2,it Italy,,,,22500.0,Ogün Temizkanoğlu,,Hugh Dallas,Match Report,,,,,0,0,2000,Turkiye
1,2000-06-15,20:45,UEFA Euro,Group stage,Thu,Neutral,D,0,0,se Sweden,,,,27000.0,Ogün Temizkanoğlu,,Dick Jol,Match Report,,,,,0,0,2000,Turkiye
2,2000-06-19,20:45,UEFA Euro,Group stage,Mon,Away,W,2,0,be Belgium,,,,48000.0,Ogün Temizkanoğlu,,Kim Milton Nielsen,Match Report,,,,,0,0,2000,Turkiye
3,2000-06-24,18:00,UEFA Euro,Quarter-finals,Sat,Neutral,L,0,2,pt Portugal,,,,42000.0,Ogün Temizkanoğlu,,Dick Jol,Match Report,,,,,0,0,2000,Turkiye
0,2000-06-12,18:00,UEFA Euro,Group stage,Mon,Neutral,D,1,1,de Germany,,,,28500.0,Gheorghe Hagi,,Kim Milton Nielsen,Match Report,,,,,0,0,2000,Romania
1,2000-06-17,18:00,UEFA Euro,Group stage,Sat,Neutral,L,0,1,pt Portugal,,,,28400.0,Gheorghe Hagi,,Gilles Veissière,Match Report,,,,,0,0,2000,Romania
2,2000-06-20,20:45,UEFA Euro,Group stage,Tue,Neutral,W,3,2,eng England,,,,30000.0,Gheorghe Popescu,,Urs Meier,Match Report,,,,,1,1,2000,Romania
3,2000-06-24,20:45,UEFA Euro,Quarter-finals,Sat,Neutral,L,0,2,it Italy,,,,41000.0,Gheorghe Hagi,,Vítor Melo,Match Report,,,,,0,0,2000,Romania
0,2000-06-13,20:45,UEFA Euro,Group stage,Tue,Neutral,D,3,3,si Slovenia,,,,18500.0,Predrag Mijatović,,Vítor Melo,Match Report,,,,,0,0,2000,FR-Yugoslavia
1,2000-06-18,20:45,UEFA Euro,Group stage,Sun,Neutral,W,1,0,no Norway,,,,28750.0,Dragan Stojković,,Hugh Dallas,Match Report,,,,,0,0,2000,FR-Yugoslavia
2,2000-06-21,18:00,UEFA Euro,Group stage,Wed,Neutral,L,3,4,es Spain,,,,26611.0,Dragan Stojković,,Gilles Veissière,Match Report,,,,,0,0,2000,FR-Yugoslavia
3,2000-06-25,18:00,UEFA Euro,Quarter-finals,Sun,Away,L,1,6,nl Netherlands,,,,44000.0,Dragan Stojković,,José García Aranda,Match Report,,,,,0,0,2000,FR-Yugoslavia
0,2000-06-13,18:00,UEFA Euro,Group stage,Tue,Neutral,W,1,0,es Spain,,,,41000.0,Henning Berg,,Gamal Al Ghandour,Match Report,,,,,0,0,2000,Norway
1,2000-06-18,20:45,UEFA Euro,Group stage,Sun,Neutral,L,0,1,rs Yugoslavia,,,,28750.0,Bent Skammelsrud,,Hugh Dallas,Match Report,,,,,0,0,2000,Norway
2,2000-06-21,18:00,UEFA Euro,Group stage,Wed,Neutral,D,0,0,si Slovenia,,,,21000.0,Ståle Solbakken,,Graham Poll,Match Report,,,,,0,0,2000,Norway
0,2000-06-11,20:45,UEFA Euro,Group stage,Sun,Away,L,0,1,nl Netherlands,,,,50800.0,Jiří Němec,,Pierluigi Collina,Match Report,,,,,0,0,2000,Czechia
1,2000-06-16,18:00,UEFA Euro,Group stage,Fri,Neutral,L,1,2,fr France,,,,27243.0,Jiří Němec,,Graham Poll,Match Report,,,,,1,1,2000,Czechia
2,2000-06-21,20:45,UEFA Euro,Group stage,Wed,Neutral,W,2,0,dk Denmark,,,,20000.0,Jiří Němec,,Gamal Al Ghandour,Match Report,,,,,0,0,2000,Czechia
0,2000-06-12,20:45,UEFA Euro,Group stage,Mon,Neutral,L,2,3,pt Portugal,,,,31500.0,Alan Shearer,,Anders Frisk,Match Report,,,,,0,0,2000,England
1,2000-06-17,20:45,UEFA Euro,Group stage,Sat,Neutral,W,1,0,de Germany,,,,29000.0,Alan Shearer,,Pierluigi Collina,Match Report,,,,,0,0,2000,England
2,2000-06-20,20:45,UEFA Euro,Group stage,Tue,Neutral,L,2,3,ro Romania,,,,30000.0,Alan Shearer,,Urs Meier,Match Report,,,,,1,1,2000,England
0,2000-06-10,20:45,UEFA Euro,Group stage,Sat,Home,W,2,1,se Sweden,,,,46700.0,Lorenzo Staelens,,Markus Merk,Match Report,,,,,0,0,2000,Belgium
1,2000-06-14,20:45,UEFA Euro,Group stage,Wed,Home,L,0,2,it Italy,,,,44500.0,Lorenzo Staelens,,José García Aranda,Match Report,,,,,0,0,2000,Belgium
2,2000-06-19,20:45,UEFA Euro,Group stage,Mon,Home,L,0,2,tr Türkiye,,,,48000.0,Lorenzo Staelens,,Kim Milton Nielsen,Match Report,,,,,0,0,2000,Belgium
0,2000-06-13,20:45,UEFA Euro,Group stage,Tue,Neutral,D,3,3,rs Yugoslavia,,,,18500.0,Darko Milanič,,Vítor Melo,Match Report,,,,,0,0,2000,Slovenia
1,2000-06-18,18:00,UEFA Euro,Group stage,Sun,Neutral,L,1,2,es Spain,,,,51300.0,Darko Milanič,,Markus Merk,Match Report,,,,,0,0,2000,Slovenia
2,2000-06-21,18:00,UEFA Euro,Group stage,Wed,Neutral,D,0,0,no Norway,,,,21000.0,Aleš Čeh,,Graham Poll,Match Report,,,,,0,0,2000,Slovenia
0,2000-06-10,20:45,UEFA Euro,Group stage,Sat,Away,L,1,2,be Belgium,,,,46700.0,Patrik Andersson,,Markus Merk,Match Report,,,,,0,0,2000,Sweden
1,2000-06-15,20:45,UEFA Euro,Group stage,Thu,Neutral,D,0,0,tr Türkiye,,,,27000.0,Johan Mjällby,,Dick Jol,Match Report,,,,,0,0,2000,Sweden
2,2000-06-19,20:45,UEFA Euro,Group stage,Mon,Neutral,L,1,2,it Italy,,,,30000.0,Patrik Andersson,,Vítor Melo,Match Report,,,,,0,0,2000,Sweden
0,2000-06-12,18:00,UEFA Euro,Group stage,Mon,Neutral,D,1,1,ro Romania,,,,28500.0,Oliver Bierhoff,,Kim Milton Nielsen,Match Report,,,,,0,0,2000,Germany
1,2000-06-17,20:45,UEFA Euro,Group stage,Sat,Neutral,L,0,1,eng England,,,,29000.0,Oliver Kahn,,Pierluigi Collina,Match Report,,,,,0,0,2000,Germany
2,2000-06-20,20:45,UEFA Euro,Group stage,Tue,Neutral,L,0,3,pt Portugal,,,,44000.0,Oliver Kahn,,Dick Jol,Match Report,,,,,0,0,2000,Germany
0,2000-06-11,18:00,UEFA Euro,Group stage,Sun,Neutral,L,0,3,fr France,,,,28100.0,Peter Schmeichel,,Günter Benkö,Match Report,,,,,0,0,2000,Denmark
1,2000-06-16,20:45,UEFA Euro,Group stage,Fri,Away,L,0,3,nl Netherlands,,,,51425.0,Michael Schjønberg,,Urs Meier,Match Report,,,,,0,0,2000,Denmark
2,2000-06-21,20:45,UEFA Euro,Group stage,Wed,Neutral,L,0,2,cz Czechia,,,,20000.0,Peter Schmeichel,,Gamal Al Ghandour,Match Report,,,,,0,0,2000,Denmark
